|-------------|---------------------------------------|
| 1013        | Legacy                                |
|-------------|---------------------------------------|
| 1036        | Legend of Isla Nublar                 |
|-------------|---------------------------------------|
| 267         | Legends                               |
|-------------|---------------------------------------|
| 787         | Legends of Chima                      |
|-------------|---------------------------------------|
| 922         | Legends of Tomorrow                   |
|-------------|---------------------------------------|
| 976         | LEGO Brand                            |
|-------------|---------------------------------------|
| 625         | LEGO Brand Store                      |
|-------------|---------------------------------------|
| 977         | LEGO Club                             |
|-------------|---------------------------------------|
| 981         | LEGO Employee Gift                    |
|-------------|---------------------------------------|
| 1011        | LEGO Facilities                       |
|-------------|---------------------------------------|
| 982         | LEGO House                            |
|-------------|---------------------------------------|
| 817         | LEGO Ideas &#40;CUUSOO&#41;           |
|-------------|---------------------------------------|
| 979         | LEGO Inside Tour                      |
|-------------|---------------------------------------|
| 1065        | LEGO Originals                        |
|-------------|---------------------------------------|
| 277         | Legoland                              |
|-------------|---------------------------------------|
| 572         | Legoland Parks                        |
|-------------|---------------------------------------|
| 24          | Lever                                 |
|-------------|---------------------------------------|
| 172         | Life on Mars                          |
|-------------|---------------------------------------|
| 291         | Lion Knights                          |
|-------------|---------------------------------------|
| 292         | Little Forest Friends                 |
|-------------|---------------------------------------|
| 507         | Little Robots                         |
|-------------|---------------------------------------|
| 1144        | Looney Tunes                          |
|-------------|---------------------------------------|
| 1112        | Luggage & Luggage Accessories         |
|-------------|---------------------------------------|
| 1192        | Luigi&#39;s Mansion                   |
|-------------|---------------------------------------|
| 306         | M:Tron                                |
|-------------|---------------------------------------|
| 462         | Magazine                              |
|-------------|---------------------------------------|
| 1086        | Magazine, Bionicle                    |
|-------------|---------------------------------------|
| 1021        | Magazine, City                        |
|-------------|---------------------------------------|
| 1087        | Magazine, Disney Princess             |
|-------------|---------------------------------------|
| 1085        | Magazine, Elves                       |
|-------------|---------------------------------------|
| 1109        | Magazine, Explorer                    |
|-------------|---------------------------------------|
| 1022        | Magazine, Friends                     |
|-------------|---------------------------------------|
| 1083        | Magazine, Hidden Side                 |
|-------------|---------------------------------------|
| 1084        | Magazine, Jurassic World              |
|-------------|---------------------------------------|
| 1026        | Magazine, Legends of Chima            |
|-------------|---------------------------------------|
| 1167        | Magazine, LEGO Club                   |
|-------------|---------------------------------------|
| 1165        | Magazine, Minecraft                   |
|-------------|---------------------------------------|
| 1023        | Magazine, Nexo Knights                |
|-------------|---------------------------------------|
| 1024        | Magazine, Ninjago                     |
|-------------|---------------------------------------|
| 1025        | Magazine, Star Wars                   |
|-------------|---------------------------------------|
| 1063        | Magazine, Super Heroes                |
|-------------|---------------------------------------|
| 1088        | Magazine, The LEGO Movie 2            |
|-------------|---------------------------------------|
| 14          | Magnet                                |
|-------------|---------------------------------------|
| 897         | Man of Steel                          |
|-------------|---------------------------------------|
| 1120        | March of the Oni                      |
|-------------|---------------------------------------|
| 592         | Mars Mission                          |
|-------------|---------------------------------------|
| 1159        | Marvel Studios                        |
|-------------|---------------------------------------|
| 764         | Master Builder Academy                |
|-------------|---------------------------------------|
| 1117        | Master Builder Series                 |
|-------------|---------------------------------------|
| 1106        | Master of the Mountain                |
|-------------|---------------------------------------|
| 839         | Masters                               |
|-------------|---------------------------------------|
| 653         | Matoran of Light                      |
|-------------|---------------------------------------|
| 654         | Matoran of Mahri Nui                  |
|-------------|---------------------------------------|
| 655         | Matoran of Mata Nui                   |
|-------------|---------------------------------------|
| 656         | Matoran of Metru Nui                  |
|-------------|---------------------------------------|
| 657         | Matoran of Voya Nui                   |
|-------------|---------------------------------------|
| 513         | Media Audio & Video                   |
|-------------|---------------------------------------|
| 1182        | Mickey and Friends                    |
|-------------|---------------------------------------|
| 1082        | Micro Doll, Body Part                 |
|-------------|---------------------------------------|
| 806         | Microfighters Series 1                |
|-------------|---------------------------------------|
| 835         | Microfighters Series 2                |
|-------------|---------------------------------------|
| 866         | Microfighters Series 3                |
|-------------|---------------------------------------|
| 900         | Microfighters Series 4                |
|-------------|---------------------------------------|
| 928         | Microfighters Series 5                |
|-------------|---------------------------------------|
| 1009        | Microfighters Series 6                |
|-------------|---------------------------------------|
| 1067        | Microfighters Series 7                |
|-------------|---------------------------------------|
| 1127        | Microfighters Series 8                |
|-------------|---------------------------------------|
| 1206        | Midway Arcade                         |
|-------------|---------------------------------------|
| 874         | Mighty Micros                         |
|-------------|---------------------------------------|
| 867         | Miles From Tomorrowland               |
|-------------|---------------------------------------|
| 59          | Mindstorms                            |
|-------------|---------------------------------------|
| 801         | Minecraft                             |
|-------------|---------------------------------------|
| 1096        | Minecraft Dungeons                    |
|-------------|---------------------------------------|
| 481         | Mini                                  |
|-------------|---------------------------------------|
| 911         | Mini Doll, Body Part                  |
|-------------|---------------------------------------|
| 912         | Mini Doll, Body Wear                  |
|-------------|---------------------------------------|
| 913         | Mini Doll, Hair                       |
|-------------|---------------------------------------|
| 914         | Mini Doll, Head                       |
|-------------|---------------------------------------|
| 915         | Mini Doll, Headgear                   |
|-------------|---------------------------------------|
| 916         | Mini Doll, Legs                       |
|-------------|---------------------------------------|
| 917         | Mini Doll, Torso                      |
|-------------|---------------------------------------|
| 20          | Minifigure, Body Part                 |
|-------------|---------------------------------------|
| 142         | Minifigure, Body Wear                 |
|-------------|---------------------------------------|
| 847         | Minifigure, Hair                      |
|-------------|---------------------------------------|
| 238         | Minifigure, Head                      |
|-------------|---------------------------------------|
| 606         | Minifigure, Head, Modified            |
|-------------|---------------------------------------|
| 16          | Minifigure, Headgear                  |
|-------------|---------------------------------------|
| 636         | Minifigure, Headgear Accessory        |
|-------------|---------------------------------------|
| 484         | Minifigure, Legs                      |
|-------------|---------------------------------------|
| 1098        | Minifigure, Legs, Decorated           |
|-------------|---------------------------------------|
| 1116        | Minifigure, Legs, Modified            |
|-------------|---------------------------------------|
| 1118        | Minifigure, Legs, Modified, Decorated |
|-------------|---------------------------------------|
| 418         | Minifigure, Shield                    |
|-------------|---------------------------------------|
| 150         | Minifigure, Torso                     |
|-------------|---------------------------------------|
| 485         | Minifigure, Torso Assembly            |
|-------------|---------------------------------------|
| 1097        | Minifigure, Torso Assembly, Decor.    |
|-------------|---------------------------------------|
| 18          | Minifigure, Utensil                   |
|-------------|---------------------------------------|
| 943         | Minifigure, Utensil, Decorated        |
|-------------|---------------------------------------|
| 19          | Minifigure, Weapon                    |
|-------------|---------------------------------------|
| 1070        | Minions The Rise Of Gru               |
|-------------|---------------------------------------|
| 394         | Minitalia                             |
|-------------|---------------------------------------|
| 1110        | Miscellaneous Licensed                |
|-------------|---------------------------------------|
| 550         | Mission Deep Freeze                   |
|-------------|---------------------------------------|
| 549         | Mission Deep Sea                      |
|-------------|---------------------------------------|
| 1204        | Mission: Impossible                   |
|-------------|---------------------------------------|
| 658         | Mistika                               |
|-------------|---------------------------------------|
| 1040        | Mix                                   |
|-------------|---------------------------------------|
| 808         | Mixels                                |
|-------------|---------------------------------------|
| 819         | Mixels Series 1                       |
|-------------|---------------------------------------|
| 820         | Mixels Series 2                       |
|-------------|---------------------------------------|
| 821         | Mixels Series 3                       |
|-------------|---------------------------------------|
| 837         | Mixels Series 4                       |
|-------------|---------------------------------------|
| 851         | Mixels Series 5                       |
|-------------|---------------------------------------|
| 861         | Mixels Series 6                       |
|-------------|---------------------------------------|
| 873         | Mixels Series 7                       |
|-------------|---------------------------------------|
| 882         | Mixels Series 8                       |
|-------------|---------------------------------------|
| 889         | Mixels Series 9                       |
|-------------|---------------------------------------|
| 894         | Moana                                 |
|-------------|---------------------------------------|
| 682         | Model                                 |
|-------------|---------------------------------------|
| 432         | Model Maker                           |
|-------------|---------------------------------------|
| 60          | Model Team                            |
|-------------|---------------------------------------|
| 710         | Modular Buildings Collection          |
|-------------|---------------------------------------|
| 727         | Modulex                               |
|-------------|---------------------------------------|
| 729         | Modulex, Brick                        |
|-------------|---------------------------------------|
| 728         | Modulex, Tile, Decorated              |
|-------------|---------------------------------------|
| 730         | Modulex, Window                       |
|-------------|---------------------------------------|
| 604         | Money and Coin Bank                   |
|-------------|---------------------------------------|
| 1100        | Monkie Kid                            |
|-------------|---------------------------------------|
| 237         | Monorail                              |
|-------------|---------------------------------------|
| 781         | Monster Fighters                      |
|-------------|---------------------------------------|
| 986         | Monthly Model                         |
|-------------|---------------------------------------|
| 433         | Mosaic                                |
|-------------|---------------------------------------|
| 504         | Motor, Non-Electric                   |
|-------------|---------------------------------------|
| 802         | Muji                                  |
|-------------|---------------------------------------|
| 1188        | Mulan                                 |
|-------------|---------------------------------------|
| 467         | My Own Creation                       |
|-------------|---------------------------------------|
| 694         | My Own Train                          |
|-------------|---------------------------------------|
| 868         | Nexo Knights                          |
|-------------|---------------------------------------|
| 284         | Ninja                                 |
|-------------|---------------------------------------|
| 759         | Ninjago                               |
|-------------|---------------------------------------|
| 630         | NXT                                   |
|-------------|---------------------------------------|
| 383         | Off-Road                              |
|-------------|---------------------------------------|
| 1113        | Office Supplies                       |
|-------------|---------------------------------------|
| 699         | Order of the Phoenix                  |
|-------------|---------------------------------------|
| 475         | Orient Expedition                     |
|-------------|---------------------------------------|
| 495         | Outback                               |
|-------------|---------------------------------------|
| 975         | Overwatch                             |
|-------------|---------------------------------------|
| 91          | Panel                                 |
|-------------|---------------------------------------|
| 461         | Panel, Decorated                      |
|-------------|---------------------------------------|
| 246         | Paper                                 |
|-------------|---------------------------------------|
| 1018        | Paper, Certificate                    |
|-------------|---------------------------------------|
| 1104        | Paper, Flyer                          |
|-------------|---------------------------------------|
| 1003        | Paper, Forms & Surveys                |
|-------------|---------------------------------------|
| 71          | Paradisa                              |
|-------------|---------------------------------------|
| 995         | Party Supplies                        |
|-------------|---------------------------------------|
| 445         | Patch & Pin                           |
|-------------|---------------------------------------|
| 241         | Pen                                   |
|-------------|---------------------------------------|
| 1137        | Pets                                  |
|-------------|---------------------------------------|
| 659         | Phantoka                              |
|-------------|---------------------------------------|
| 757         | Pharaoh's Quest                       |
|-------------|---------------------------------------|
| 521         | Photo Frame & Holder                  |
|-------------|---------------------------------------|
| 1131        | Pick-a-Brick Model                    |
|-------------|---------------------------------------|
| 1193        | Pick-a-Model                          |
|-------------|---------------------------------------|
| 660         | Piraka                                |
|-------------|---------------------------------------|
| 61          | Pirates                               |
|-------------|---------------------------------------|
| 688         | Pirates I                             |
|-------------|---------------------------------------|
| 687         | Pirates II                            |
|-------------|---------------------------------------|
| 841         | Pirates III                           |
|-------------|---------------------------------------|
| 761         | Pirates of the Caribbean              |
|-------------|---------------------------------------|
| 1081        | Placeholder                           |
|-------------|---------------------------------------|
| 772         | Planets Series 1                      |
|-------------|---------------------------------------|
| 783         | Planets Series 2                      |
|-------------|---------------------------------------|
| 793         | Planets Series 3                      |
|-------------|---------------------------------------|
| 794         | Planets Series 4                      |
|-------------|---------------------------------------|
| 25          | Plant                                 |
|-------------|---------------------------------------|
| 95          | Plant, Tree                           |
|-------------|---------------------------------------|
| 161         | Plastic                               |
|-------------|---------------------------------------|
| 26          | Plate                                 |
|-------------|---------------------------------------|
| 885         | Plate, Decorated                      |
|-------------|---------------------------------------|
| 27          | Plate, Modified                       |
|-------------|---------------------------------------|
| 890         | Plate, Modified, Decorated            |
|-------------|---------------------------------------|
| 28          | Plate, Round                          |
|-------------|---------------------------------------|
| 1090        | Plate, Round, Decorated               |
|-------------|---------------------------------------|
| 1123        | Play Cube                             |
|-------------|---------------------------------------|
| 586         | Play Wear & Weaponry                  |
|-------------|---------------------------------------|
| 613         | Playhouse                             |
|-------------|---------------------------------------|
| 998         | Playmat                               |
|-------------|---------------------------------------|
| 661         | Playsets                              |
|-------------|---------------------------------------|
| 159         | Pneumatic                             |
|-------------|---------------------------------------|
| 323         | Police                                |
|-------------|---------------------------------------|
| 1201        | Portal 2                              |
|-------------|---------------------------------------|
| 949         | Possession                            |
|-------------|---------------------------------------|
| 251         | Post Office                           |
|-------------|---------------------------------------|
| 503         | Poster                                |
|-------------|---------------------------------------|
| 721         | Power Functions                       |
|-------------|---------------------------------------|
| 689         | Power Miners                          |
|-------------|---------------------------------------|
| 691         | Power Racers                          |
|-------------|---------------------------------------|
| 1016        | Powered Up                            |
|-------------|---------------------------------------|
| 1077        | Prime Empire                          |
|-------------|---------------------------------------|
| 294         | Primo                                 |
|-------------|---------------------------------------|
| 734         | Prince of Persia                      |
|-------------|---------------------------------------|
| 614         | Princess Castle                       |
|-------------|---------------------------------------|
| 697         | Prisoner of Azkaban                   |
|-------------|---------------------------------------|
| 992         | Projectile Launcher                   |
|-------------|---------------------------------------|
| 983         | Promotional                           |
|-------------|---------------------------------------|
| 30          | Propeller                             |
|-------------|---------------------------------------|
| 838         | Protectors                            |
|-------------|---------------------------------------|
| 443         | Puzzle                                |
|-------------|---------------------------------------|
| 594         | Puzzle Book                           |
|-------------|---------------------------------------|
| 537         | Quatro                                |
|-------------|---------------------------------------|
| 1163        | Queer Eye                             |
|-------------|---------------------------------------|
| 598         | Race                                  |
|-------------|---------------------------------------|
| 179         | Racers                                |
|-------------|---------------------------------------|
| 158         | Radio Control                         |
|-------------|---------------------------------------|
| 662         | Rahaga                                |
|-------------|---------------------------------------|
| 663         | Rahi                                  |
|-------------|---------------------------------------|
| 664         | Rahkshi                               |
|-------------|---------------------------------------|
| 701         | Raiders of the Lost Ark               |
|-------------|---------------------------------------|
| 324         | Rattles                               |
|-------------|---------------------------------------|
| 1130        | Raya and the Last Dragon              |
|-------------|---------------------------------------|
| 577         | RC Train                              |
|-------------|---------------------------------------|
| 631         | RCX                                   |
|-------------|---------------------------------------|
| 947         | Rebooted                              |
|-------------|---------------------------------------|
| 686         | Recreation                            |
|-------------|---------------------------------------|
| 329         | Res-Q                                 |
|-------------|---------------------------------------|
| 539         | Retail Display                        |
|-------------|---------------------------------------|
| 848         | Retail Display Case                   |
|-------------|---------------------------------------|
| 526         | Retail Display Flag                   |
|-------------|---------------------------------------|
| 225         | Riding Cycle                          |
|-------------|---------------------------------------|
| 989         | Ring                                  |
|-------------|---------------------------------------|
| 945         | Rise of the Snakes                    |
|-------------|---------------------------------------|
| 98          | Road Sign                             |
|-------------|---------------------------------------|
| 1048        | Road Sign, Decorated                  |
|-------------|---------------------------------------|
| 307         | RoboForce                             |
|-------------|---------------------------------------|
| 384         | RoboRiders                            |
|-------------|---------------------------------------|
| 619         | Robot                                 |
|-------------|---------------------------------------|
| 99          | Rock                                  |
|-------------|---------------------------------------|
| 62          | Rock Raiders                          |
|-------------|---------------------------------------|
| 379         | Roof                                  |
|-------------|---------------------------------------|
| 285         | Royal Knights                         |
|-------------|---------------------------------------|
| 229         | Rubber Band & Belt                    |
|-------------|---------------------------------------|
| 589         | Safari                                |
|-------------|---------------------------------------|
| 395         | Samsonite                             |
|-------------|---------------------------------------|
| 102         | Scala                                 |
|-------------|---------------------------------------|
| 413         | Scala, Figure Accessory               |
|-------------|---------------------------------------|
| 1216        | School                                |
|-------------|---------------------------------------|
| 447         | School Supplies                       |
|-------------|---------------------------------------|
| 856         | Scooby-Doo                            |
|-------------|---------------------------------------|
| 169         | Sculptures                            |
|-------------|---------------------------------------|
| 1155        | Seabound                              |
|-------------|---------------------------------------|
| 1046        | Secrets of the Forbidden Spinjitzu    |
|-------------|---------------------------------------|
| 753         | Series  1 Minifigures                 |
|-------------|---------------------------------------|
| 754         | Series  2 Minifigures                 |
|-------------|---------------------------------------|
| 758         | Series  3 Minifigures                 |
|-------------|---------------------------------------|
| 760         | Series  4 Minifigures                 |
|-------------|---------------------------------------|
| 765         | Series  5 Minifigures                 |
|-------------|---------------------------------------|
| 770         | Series  6 Minifigures                 |
|-------------|---------------------------------------|
| 774         | Series  7 Minifigures                 |
|-------------|---------------------------------------|
| 784         | Series  8 Minifigures                 |
|-------------|---------------------------------------|
| 792         | Series  9 Minifigures                 |
|-------------|---------------------------------------|
| 796         | Series 10 Minifigures                 |
|-------------|---------------------------------------|
| 799         | Series 11 Minifigures                 |
|-------------|---------------------------------------|
| 823         | Series 12 Minifigures                 |
|-------------|---------------------------------------|
| 833         | Series 13 Minifigures                 |
|-------------|---------------------------------------|
| 857         | Series 14 Minifigures                 |
|-------------|---------------------------------------|
| 871         | Series 15 Minifigures                 |
|-------------|---------------------------------------|
| 883         | Series 16 Minifigures                 |
|-------------|---------------------------------------|
| 907         | Series 17 Minifigures                 |
|-------------|---------------------------------------|
| 959         | Series 18 Minifigures                 |
|-------------|---------------------------------------|
| 1058        | Series 19 Minifigures                 |
|-------------|---------------------------------------|
| 1089        | Series 20 Minifigures                 |
|-------------|---------------------------------------|
| 1129        | Series 21 Minifigures                 |
|-------------|---------------------------------------|
| 1199        | Series 22 Minifigures                 |
|-------------|---------------------------------------|
| 803         | Serious Play                          |
|-------------|---------------------------------------|
| 63          | Service Packs                         |
|-------------|---------------------------------------|
| 1152        | Shang-Chi                             |
|-------------|---------------------------------------|
| 950         | Skybound                              |
|-------------|---------------------------------------|
| 1186        | Sleeping Beauty                       |
|-------------|---------------------------------------|
| 999         | Slide                                 |
|-------------|---------------------------------------|
| 31          | Slope                                 |
|-------------|---------------------------------------|
| 438         | Slope, Curved                         |
|-------------|---------------------------------------|
| 775         | Slope, Curved, Decorated              |
|-------------|---------------------------------------|
| 33          | Slope, Decorated                      |
|-------------|---------------------------------------|
| 32          | Slope, Inverted                       |
|-------------|---------------------------------------|
| 776         | Slope, Inverted, Decorated            |
|-------------|---------------------------------------|
| 1005        | Smoking Supplies                      |
|-------------|---------------------------------------|
| 1190        | Snow White                            |
|-------------|---------------------------------------|
| 224         | Soccer                                |
|-------------|---------------------------------------|
| 836         | Sofia the First                       |
|-------------|---------------------------------------|
| 439         | Soft Bricks                           |
|-------------|---------------------------------------|
| 180         | Software                              |
|-------------|---------------------------------------|
| 1203        | Sonic the Hedgehog                    |
|-------------|---------------------------------------|
| 953         | Sons of Garmadon                      |
|-------------|---------------------------------------|
| 695         | Sorcerer's Stone                      |
|-------------|---------------------------------------|
| 34          | Space                                 |
|-------------|---------------------------------------|
| 308         | Space Police I                        |
|-------------|---------------------------------------|
| 309         | Space Police II                       |
|-------------|---------------------------------------|
| 713         | Space Police III                      |
|-------------|---------------------------------------|
| 330         | Space Port                            |
|-------------|---------------------------------------|
| 961         | Special Assembly                      |
|-------------|---------------------------------------|
| 632         | Special Element Sets                  |
|-------------|---------------------------------------|
| 842         | Speed Champions                       |
|-------------|---------------------------------------|
| 608         | Speed Racer                           |
|-------------|---------------------------------------|
| 386         | Speed Slammers                        |
|-------------|---------------------------------------|
| 469         | Spider-Man                            |
|-------------|---------------------------------------|
| 705         | Spider-Man 1                          |
|-------------|---------------------------------------|
| 706         | Spider-Man 2                          |
|-------------|---------------------------------------|
| 1033        | Spider-Man Far From Home              |
|-------------|---------------------------------------|
| 956         | Spider-Man Homecoming                 |
|-------------|---------------------------------------|
| 1162        | Spider-Man No Way Home                |
|-------------|---------------------------------------|
| 1198        | Spidey and his Amazing Friends        |
|-------------|---------------------------------------|
| 1045        | SPIKE Prime                           |
|-------------|---------------------------------------|
| 1014        | Spinjitzu                             |
|-------------|---------------------------------------|
| 967         | Spinjitzu Masters                     |
|-------------|---------------------------------------|
| 1047        | Spinjitzu Slam                        |
|-------------|---------------------------------------|
| 970         | Spinners                              |
|-------------|---------------------------------------|
| 573         | SpongeBob SquarePants                 |
|-------------|---------------------------------------|
| 473         | Sports                                |
|-------------|---------------------------------------|
| 993         | Spring                                |
|-------------|---------------------------------------|
| 436         | Spybotics                             |
|-------------|---------------------------------------|
| 310         | Spyrius                               |
|-------------|---------------------------------------|
| 1151        | Stage                                 |
|-------------|---------------------------------------|
| 103         | Stairs                                |
|-------------|---------------------------------------|
| 1145        | Stamp                                 |
|-------------|---------------------------------------|
| 65          | Star Wars                             |
|-------------|---------------------------------------|
| 1029        | Star Wars Battlefront                 |
|-------------|---------------------------------------|
| 257         | Star Wars Episode 1                   |
|-------------|---------------------------------------|
| 381         | Star Wars Episode 2                   |
|-------------|---------------------------------------|
| 547         | Star Wars Episode 3                   |
|-------------|---------------------------------------|
| 258         | Star Wars Episode 4/5/6               |
|-------------|---------------------------------------|
| 858         | Star Wars Episode 7                   |
|-------------|---------------------------------------|
| 923         | Star Wars Episode 8                   |
|-------------|---------------------------------------|
| 1057        | Star Wars Episode 9                   |
|-------------|---------------------------------------|
| 1105        | Star Wars Galaxy&#39;s Edge           |
|-------------|---------------------------------------|
| 834         | Star Wars Legends                     |
|-------------|---------------------------------------|
| 814         | Star Wars Old Republic                |
|-------------|---------------------------------------|
| 607         | Star Wars Other                       |
|-------------|---------------------------------------|
| 818         | Star Wars Rebels                      |
|-------------|---------------------------------------|
| 1031        | Star Wars Resistance                  |
|-------------|---------------------------------------|
| 888         | Star Wars Rogue One                   |
|-------------|---------------------------------------|
| 960         | Star Wars Solo                        |
|-------------|---------------------------------------|
| 1153        | Star Wars The Bad Batch               |
|-------------|---------------------------------------|
| 635         | Star Wars The Clone Wars              |
|-------------|---------------------------------------|
| 908         | Star Wars The Freemaker Adventures    |
|-------------|---------------------------------------|
| 1061        | Star Wars The Mandalorian             |
|-------------|---------------------------------------|
| 813         | Star Wars Yoda Chronicles             |
|-------------|---------------------------------------|
| 742         | Stars                                 |
|-------------|---------------------------------------|
| 1102        | Sticker Book                          |
|-------------|---------------------------------------|
| 160         | Sticker Sheet                         |
|-------------|---------------------------------------|
| 1017        | Sticker, Collectible Sticker          |
|-------------|---------------------------------------|
| 582         | Stickered Assembly                    |
|-------------|---------------------------------------|
| 264         | Stingrays                             |
|-------------|---------------------------------------|
| 399         | Storage                               |
|-------------|---------------------------------------|
| 1092        | Storage, Sorting Tray                 |
|-------------|---------------------------------------|
| 505         | Story Book                            |
|-------------|---------------------------------------|
| 1043        | Stranger Things                       |
|-------------|---------------------------------------|
| 231         | String & Net                          |
|-------------|---------------------------------------|
| 88          | String Reel / Winch                   |
|-------------|---------------------------------------|
| 174         | Studios                               |
|-------------|---------------------------------------|
| 1160        | Stuntz                                |
|-------------|---------------------------------------|
| 768         | Super Heroes                          |
|-------------|---------------------------------------|
| 1080        | Super Heroes Other                    |
|-------------|---------------------------------------|
| 1095        | Super Mario                           |
|-------------|---------------------------------------|
| 1134        | Super Mario Expansion Set             |
|-------------|---------------------------------------|
| 1133        | Super Mario Maker Set                 |
|-------------|---------------------------------------|
| 1135        | Super Mario Power-Up Pack             |
|-------------|---------------------------------------|
| 1114        | Super Mario Series 1                  |
|-------------|---------------------------------------|
| 1126        | Super Mario Series 2                  |
|-------------|---------------------------------------|
| 1158        | Super Mario Series 3                  |
|-------------|---------------------------------------|
| 1191        | Super Mario Series 4                  |
|-------------|---------------------------------------|
| 1161        | Super Mario Starter Course            |
|-------------|---------------------------------------|
| 831         | Superman                              |
|-------------|---------------------------------------|
| 397         | Supplemental                          |
|-------------|---------------------------------------|
| 105         | Support                               |
|-------------|---------------------------------------|
| 106         | Tail                                  |
|-------------|---------------------------------------|
| 741         | Tail, Decorated                       |
|-------------|---------------------------------------|
| 962         | Tangled                               |
|-------------|---------------------------------------|
| 1183        | Tangled The Series                    |
|-------------|---------------------------------------|
| 107         | Tap                                   |
|-------------|---------------------------------------|
| 785         | Team GB                               |
|-------------|---------------------------------------|
| 36          | Technic                               |
|-------------|---------------------------------------|
| 134         | Technic, Axle                         |
|-------------|---------------------------------------|
| 135         | Technic, Brick                        |
|-------------|---------------------------------------|
| 133         | Technic, Connector                    |
|-------------|---------------------------------------|
| 638         | Technic, Disk                         |
|-------------|---------------------------------------|
| 242         | Technic, Figure Accessory             |
|-------------|---------------------------------------|
| 483         | Technic, Flex Cable                   |
|-------------|---------------------------------------|
| 136         | Technic, Gear                         |
|-------------|---------------------------------------|
| 137         | Technic, Liftarm                      |
|-------------|---------------------------------------|
| 777         | Technic, Liftarm, Decorated           |
|-------------|---------------------------------------|
| 138         | Technic, Link                         |
|-------------|---------------------------------------|
| 154         | Technic, Panel                        |
|-------------|---------------------------------------|
| 740         | Technic, Panel, Decorated             |
|-------------|---------------------------------------|
| 139         | Technic, Pin                          |
|-------------|---------------------------------------|
| 140         | Technic, Plate                        |
|-------------|---------------------------------------|
| 542         | Technic, Shock Absorber               |
|-------------|---------------------------------------|
| 141         | Technic, Steering                     |
|-------------|---------------------------------------|
| 1207        | Teen Titans Go!                       |
|-------------|---------------------------------------|
| 790         | Teenage Mutant Ninja Turtles          |
|-------------|---------------------------------------|
| 702         | Temple of Doom                        |
|-------------|---------------------------------------|
| 824         | Thanksgiving                          |
|-------------|---------------------------------------|
| 1205        | The A-Team                            |
|-------------|---------------------------------------|
| 876         | The Angry Birds Movie                 |
|-------------|---------------------------------------|
| 1073        | The Avengers                          |
|-------------|---------------------------------------|
| 1164        | The Batman                            |
|-------------|---------------------------------------|
| 825         | The Battle of the Five Armies         |
|-------------|---------------------------------------|
| 896         | The Dark Knight Trilogy               |
|-------------|---------------------------------------|
| 946         | The Final Battle                      |
|-------------|---------------------------------------|
| 944         | The Golden Weapons                    |
|-------------|---------------------------------------|
| 1210        | The Goonies                           |
|-------------|---------------------------------------|
| 952         | The Hands of Time                     |
|-------------|---------------------------------------|
| 788         | The Hobbit                            |
|-------------|---------------------------------------|
| 789         | The Hobbit and The Lord of the Rings  |
|-------------|---------------------------------------|
| 957         | The Incredibles                       |
|-------------|---------------------------------------|
| 1136        | The Island                            |
|-------------|---------------------------------------|
| 892         | The LEGO Batman Movie                 |
|-------------|---------------------------------------|
| 1175        | The LEGO Batman Movie Series 1        |
|-------------|---------------------------------------|
| 1173        | The LEGO Batman Movie Series 2        |
|-------------|---------------------------------------|
| 804         | The LEGO Movie                        |
|-------------|---------------------------------------|
| 971         | The LEGO Movie 2                      |
|-------------|---------------------------------------|
| 920         | The LEGO Ninjago Movie                |
|-------------|---------------------------------------|
| 1181        | The Little Mermaid                    |
|-------------|---------------------------------------|
| 795         | The Lone Ranger                       |
|-------------|---------------------------------------|
| 782         | The Lord of the Rings                 |
|-------------|---------------------------------------|
| 1176        | The Nightmare Before Christmas        |
|-------------|---------------------------------------|
| 925         | The Powerpuff Girls                   |
|-------------|---------------------------------------|
| 1189        | The Princess and the Frog             |
|-------------|---------------------------------------|
| 807         | The Simpsons                          |
|-------------|---------------------------------------|
| 1174        | The Simpsons Series 1                 |
|-------------|---------------------------------------|
| 849         | The Simpsons Series 2                 |
|-------------|---------------------------------------|
| 1202        | The Wizard of Oz                      |
|-------------|---------------------------------------|
| 562         | Thomas & Friends                      |
|-------------|---------------------------------------|
| 909         | Thor Ragnarok                         |
|-------------|---------------------------------------|
| 385         | Throwbot / Slizer                     |
|-------------|---------------------------------------|
| 514         | Throwing Disk                         |
|-------------|---------------------------------------|
| 37          | Tile                                  |
|-------------|---------------------------------------|
| 39          | Tile, Decorated                       |
|-------------|---------------------------------------|
| 38          | Tile, Modified                        |
|-------------|---------------------------------------|
| 778         | Tile, Modified, Decorated             |
|-------------|---------------------------------------|
| 1039        | Tile, Promotional                     |
|-------------|---------------------------------------|
| 117         | Tile, Round                           |
|-------------|---------------------------------------|
| 812         | Tile, Round, Decorated                |
|-------------|---------------------------------------|
| 1072        | Tim Burton&#39;s Batman               |
|-------------|---------------------------------------|
| 157         | Time Cruisers                         |
|-------------|---------------------------------------|
| 571         | Tiny Turbos                           |
|-------------|---------------------------------------|
| 111         | Tire & Tread                          |
|-------------|---------------------------------------|
| 665         | Titans                                |
|-------------|---------------------------------------|
| 668         | Toa                                   |
|-------------|---------------------------------------|
| 669         | Toa Hagah                             |
|-------------|---------------------------------------|
| 670         | Toa Hordika                           |
|-------------|---------------------------------------|
| 671         | Toa Inika                             |
|-------------|---------------------------------------|
| 672         | Toa Mahri                             |
|-------------|---------------------------------------|
| 673         | Toa Metru                             |
|-------------|---------------------------------------|
| 674         | Toa Nuva                              |
